PU Histórico - Gerado em 07/10/2018 01:15:50

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	POWE41	4.309.620,311270	209.762,205435	-	4.519.382,516705	Padrão - SND	Reg.	
04/10/2018	POWE41	4.309.824,323397	208.259,740389	-	4.518.084,063786	Padrão - SND	Reg.	
03/10/2018	POWE41	4.310.028,335525	206.757,632122	-	4.516.785,967646	Padrão - SND	Reg.	
02/10/2018	POWE41	4.310.232,389838	205.255,895646	-	4.515.488,285484	Padrão - SND	Reg.	
01/10/2018	POWE41	4.310.436,401966	203.754,514070	-	4.514.190,916035	Padrão - SND	Reg.	
28/09/2018	POWE41	4.310.640,498465	202.253,502068	-	4.512.894,000533	Padrão - SND	Reg.	
27/09/2018	POWE41	4.310.844,510593	200.752,847455	-	4.511.597,358048	Padrão - SND	Reg.	
26/09/2018	POWE41	4.311.048,607093	199.252,562502	-	4.510.301,169594	Padrão - SND	Reg.	
25/09/2018	POWE41	4.311.252,703592	197.752,634698	-	4.509.005,338291	Padrão - SND	Reg.	
24/09/2018	POWE41	4.311.456,757906	196.253,070819	-	4.507.709,828725	Padrão - SND	Reg.	
21/09/2018	POWE41	4.311.660,854406	194.753,870480	-	4.506.414,724886	Padrão - SND	Reg.	
20/09/2018	POWE41	4.311.864,950905	193.255,031818	-	4.505.119,982723	Padrão - SND	Reg.	
19/09/2018	POWE41	4.312.069,089591	191.756,556780	-	4.503.825,646371	Padrão - SND	Reg.	
18/09/2018	POWE41	4.312.273,228277	190.258,443532	-	4.502.531,671809	Padrão - SND	Reg.	
17/09/2018	POWE41	4.312.477,366963	188.760,692146	-	4.501.238,059109	Padrão - SND	Reg.	
14/09/2018	POWE41	4.312.653,704989	187.262,091233	-	4.499.915,796222	Padrão - SND	Reg.	
13/09/2018	POWE41	4.312.830,043015	185.763,876052	-	4.498.593,919067	Padrão - SND	Reg.	
12/09/2018	POWE41	4.313.006,338854	184.266,040550	-	4.497.272,379404	Padrão - SND	Reg.	
11/09/2018	POWE41	4.313.182,676880	182.768,584095	-	4.495.951,260975	Padrão - SND	Reg.	
10/09/2018	POWE41	4.313.359,014906	181.271,509244	-	4.494.630,524149	Padrão - SND	Reg.	
06/09/2018	POWE41	4.326.714,511055	180.324,082619	-	4.507.038,593674	Padrão - SND	Reg.	
05/09/2018	POWE41	4.326.066,489903	178.789,103497	-	4.504.855,593399	Padrão - SND	Reg.	
04/09/2018	POWE41	4.325.418,553123	177.255,090003	-	4.502.673,643126	Padrão - SND	Reg.	
03/09/2018	POWE41	4.324.770,700716	175.722,028845	-	4.500.492,729561	Padrão - SND	Reg.	
31/08/2018	POWE41	4.324.123,017053	174.189,936085	-	4.498.312,953138	Padrão - SND	Reg.	
30/08/2018	POWE41	4.323.475,375577	172.658,793290	-	4.496.134,168867	Padrão - SND	Reg.	
29/08/2018	POWE41	4.322.827,818472	171.128,614833	-	4.493.956,433305	Padrão - SND	Reg.	
28/08/2018	POWE41	4.322.180,430112	169.599,395062	-	4.491.779,825174	Padrão - SND	Reg.	
27/08/2018	POWE41	4.321.533,041753	168.071,127013	-	4.489.604,168766	Padrão - SND	Reg.	
24/08/2018	POWE41	4.320.885,822137	166.543,816965	-	4.487.429,639103	Padrão - SND	Reg.	
23/08/2018	POWE41	4.320.238,686894	165.017,465615	-	4.485.256,152509	Padrão - SND	Reg.	
22/08/2018	POWE41	4.319.591,636023	163.492,072646	-	4.483.083,708670	Padrão - SND	Reg.	
21/08/2018	POWE41	4.318.944,669525	161.967,629107	-	4.480.912,298632	Padrão - SND	Reg.	
20/08/2018	POWE41	4.318.297,829585	160.444,144890	-	4.478.741,974475	Padrão - SND	Reg.	
17/08/2018	POWE41	4.317.651,074017	158.921,613765	-	4.476.572,687782	Padrão - SND	Reg.	
16/08/2018	POWE41	4.317.004,445007	157.400,036959	-	4.474.404,481967	Padrão - SND	Reg.	
15/08/2018	POWE41	4.316.357,858184	155.879,411067	-	4.472.237,269251	Padrão - SND	Reg.	
14/08/2018	POWE41	4.315.711,397919	154.359,738838	-	4.470.071,136757	Padrão - SND	Reg.	
13/08/2018	POWE41	4.315.065,022026	152.841,018421	-	4.467.906,040448	Padrão - SND	Reg.	
10/08/2018	POWE41	4.314.418,772692	151.323,250984	-	4.465.742,023676	Padrão - SND	Reg.	
09/08/2018	POWE41	4.313.772,565544	149.806,433239	-	4.463.578,998783	Padrão - SND	Reg.	
08/08/2018	POWE41	4.343.986,103519	149.351,559278	-	4.493.337,662797	Padrão - SND	Reg.	
07/08/2018	POWE41	4.341.514,418128	147.763,825274	-	4.489.278,243402	Padrão - SND	Reg.	
06/08/2018	POWE41	4.339.044,082694	146.178,351157	-	4.485.222,433851	Padrão - SND	Reg.	
03/08/2018	POWE41	4.336.575,223774	144.595,134548	-	4.481.170,358322	Padrão - SND	Reg.	
02/08/2018	POWE41	4.334.107,756997	143.014,178948	-	4.477.121,935945	Padrão - SND	Reg.	
01/08/2018	POWE41	4.331.641,682361	141.435,473383	-	4.473.077,155745	Padrão - SND	Reg.	
31/07/2018	POWE41	4.329.176,957683	139.859,014196	-	4.469.035,971879	Padrão - SND	Reg.	
30/07/2018	POWE41	4.326.713,751704	138.284,808858	-	4.464.998,560562	Padrão - SND	Reg.	
27/07/2018	POWE41	4.324.251,853496	136.712,848267	-	4.460.964,701763	Padrão - SND	Reg.	
26/07/2018	POWE41	4.321.791,389616	135.143,134171	-	4.456.934,523787	Padrão - SND	Reg.	
25/07/2018	POWE41	4.319.332,317879	133.575,658603	-	4.452.907,976482	Padrão - SND	Reg.	
24/07/2018	POWE41	4.316.874,638284	132.010,419274	-	4.448.885,057558	Padrão - SND	Reg.	
23/07/2018	POWE41	4.314.418,393017	130.447,419486	-	4.444.865,812503	Padrão - SND	Reg.	
20/07/2018	POWE41	4.311.963,497706	128.886,650065	-	4.440.850,147771	Padrão - SND	Reg.	
19/07/2018	POWE41	4.309.509,994538	127.328,114325	-	4.436.838,108863	Padrão - SND	Reg.	
18/07/2018	POWE41	4.307.057,883512	125.771,805664	-	4.432.829,689177	Padrão - SND	Reg.	
17/07/2018	POWE41	4.304.607,206815	124.217,723017	-	4.428.824,929832	Padrão - SND	Reg.	
16/07/2018	POWE41	4.302.157,964446	122.665,864055	-	4.424.823,828501	Padrão - SND	Reg.	
13/07/2018	POWE41	4.299.593,511754	121.112,945050	-	4.420.706,456805	Padrão - SND	Reg.	
