PU Histórico - Gerado em 07/10/2018 01:04:19

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	EDED32	7.500,000000	197,210768	-	7.697,210767	Padrão - SND	Reg.	
04/10/2018	EDED32	7.500,000000	194,801453	-	7.694,801452	Padrão - SND	Reg.	
03/10/2018	EDED32	7.500,000000	192,392880	-	7.692,392880	Padrão - SND	Reg.	
02/10/2018	EDED32	7.500,000000	189,985042	-	7.689,985043	Padrão - SND	Reg.	
01/10/2018	EDED32	7.500,000000	187,577955	-	7.687,577955	Padrão - SND	Reg.	
28/09/2018	EDED32	7.500,000000	185,174467	-	7.685,174467	Padrão - SND	Reg.	
27/09/2018	EDED32	7.500,000000	182,771797	-	7.682,771797	Padrão - SND	Reg.	
26/09/2018	EDED32	7.500,000000	180,369788	-	7.680,369787	Padrão - SND	Reg.	
25/09/2018	EDED32	7.500,000000	177,968595	-	7.677,968595	Padrão - SND	Reg.	
24/09/2018	EDED32	7.500,000000	175,568145	-	7.675,568145	Padrão - SND	Reg.	
21/09/2018	EDED32	7.500,000000	173,168348	-	7.673,168347	Padrão - SND	Reg.	
20/09/2018	EDED32	7.500,000000	170,769367	-	7.670,769368	Padrão - SND	Reg.	
19/09/2018	EDED32	7.500,000000	168,371205	-	7.668,371205	Padrão - SND	Reg.	
18/09/2018	EDED32	7.500,000000	165,973710	-	7.665,973710	Padrão - SND	Reg.	
17/09/2018	EDED32	7.500,000000	163,577025	-	7.663,577025	Padrão - SND	Reg.	
14/09/2018	EDED32	7.500,000000	161,181000	-	7.661,181000	Padrão - SND	Reg.	
13/09/2018	EDED32	7.500,000000	158,785793	-	7.658,785792	Padrão - SND	Reg.	
12/09/2018	EDED32	7.500,000000	156,391327	-	7.656,391328	Padrão - SND	Reg.	
