PU Histórico - Gerado em 07/10/2018 01:09:52

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	LCAMA2	10.000,000000	245,451810	-	10.245,451810	Padrão - SND	Reg.	
04/10/2018	LCAMA2	10.000,000000	242,045460	-	10.242,045460	Padrão - SND	Reg.	
03/10/2018	LCAMA2	10.000,000000	238,640340	-	10.238,640340	Padrão - SND	Reg.	
02/10/2018	LCAMA2	10.000,000000	235,236340	-	10.235,236340	Padrão - SND	Reg.	
01/10/2018	LCAMA2	10.000,000000	231,833440	-	10.231,833440	Padrão - SND	Reg.	
28/09/2018	LCAMA2	10.000,000000	228,435380	-	10.228,435380	Padrão - SND	Reg.	
27/09/2018	LCAMA2	10.000,000000	225,038540	-	10.225,038540	Padrão - SND	Reg.	
26/09/2018	LCAMA2	10.000,000000	221,642820	-	10.221,642820	Padrão - SND	Reg.	
25/09/2018	LCAMA2	10.000,000000	218,248210	-	10.218,248210	Padrão - SND	Reg.	
24/09/2018	LCAMA2	10.000,000000	214,854700	-	10.214,854700	Padrão - SND	Reg.	
21/09/2018	LCAMA2	10.000,000000	211,462420	-	10.211,462420	Padrão - SND	Reg.	
20/09/2018	LCAMA2	10.000,000000	208,071140	-	10.208,071140	Padrão - SND	Reg.	
19/09/2018	LCAMA2	10.000,000000	204,681080	-	10.204,681080	Padrão - SND	Reg.	
18/09/2018	LCAMA2	10.000,000000	201,292140	-	10.201,292140	Padrão - SND	Reg.	
17/09/2018	LCAMA2	10.000,000000	197,904200	-	10.197,904200	Padrão - SND	Reg.	
14/09/2018	LCAMA2	10.000,000000	194,517470	-	10.194,517470	Padrão - SND	Reg.	
13/09/2018	LCAMA2	10.000,000000	191,131960	-	10.191,131960	Padrão - SND	Reg.	
12/09/2018	LCAMA2	10.000,000000	187,747470	-	10.187,747470	Padrão - SND	Reg.	
11/09/2018	LCAMA2	10.000,000000	184,364080	-	10.184,364080	Padrão - SND	Reg.	
10/09/2018	LCAMA2	10.000,000000	180,981890	-	10.180,981890	Padrão - SND	Reg.	
06/09/2018	LCAMA2	10.000,000000	177,600730	-	10.177,600730	Padrão - SND	Reg.	
05/09/2018	LCAMA2	10.000,000000	174,220780	-	10.174,220780	Padrão - SND	Reg.	
04/09/2018	LCAMA2	10.000,000000	170,841930	-	10.170,841930	Padrão - SND	Reg.	
03/09/2018	LCAMA2	10.000,000000	167,464190	-	10.167,464190	Padrão - SND	Reg.	
31/08/2018	LCAMA2	10.000,000000	164,087570	-	10.164,087570	Padrão - SND	Reg.	
30/08/2018	LCAMA2	10.000,000000	160,712160	-	10.160,712160	Padrão - SND	Reg.	
29/08/2018	LCAMA2	10.000,000000	157,337740	-	10.157,337740	Padrão - SND	Reg.	
28/08/2018	LCAMA2	10.000,000000	153,964450	-	10.153,964450	Padrão - SND	Reg.	
27/08/2018	LCAMA2	10.000,000000	150,592360	-	10.150,592360	Padrão - SND	Reg.	
24/08/2018	LCAMA2	10.000,000000	147,221380	-	10.147,221380	Padrão - SND	Reg.	
23/08/2018	LCAMA2	10.000,000000	143,851410	-	10.143,851410	Padrão - SND	Reg.	
22/08/2018	LCAMA2	10.000,000000	140,482650	-	10.140,482650	Padrão - SND	Reg.	
21/08/2018	LCAMA2	10.000,000000	137,115000	-	10.137,115000	Padrão - SND	Reg.	
20/08/2018	LCAMA2	10.000,000000	133,748460	-	10.133,748460	Padrão - SND	Reg.	
