PU Histórico - Gerado em 07/10/2018 01:11:40

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	MNDC11	7.437,000000	21,645270	-	7.458,645269	Padrão - SND	Reg.	
04/10/2018	MNDC11	7.437,000000	18,934751	-	7.455,934751	Padrão - SND	Reg.	
03/10/2018	MNDC11	7.437,000000	16,225295	-	7.453,225295	Padrão - SND	Reg.	
02/10/2018	MNDC11	7.437,000000	13,516733	-	7.450,516733	Padrão - SND	Reg.	
01/10/2018	MNDC11	7.437,000000	10,809226	-	7.447,809226	Padrão - SND	Reg.	
28/09/2018	MNDC11	7.437,000000	8,105452	-	7.445,105452	Padrão - SND	Reg.	
27/09/2018	MNDC11	7.437,000000	5,402653	-	7.442,402653	Padrão - SND	Reg.	
26/09/2018	MNDC11	7.437,000000	2,700843	-	7.439,700843	Padrão - SND	Reg.	
25/09/2018	MNDC11	7.437,000000	-  	-	7.437,000000	Padrão - SND	Reg.	
24/09/2018	MNDC11	7.670,000000	53,097032	-	7.723,097032	Padrão - SND	Reg.	
21/09/2018	MNDC11	7.670,000000	50,293310	-	7.720,293310	Padrão - SND	Reg.	
20/09/2018	MNDC11	7.670,000000	47,490600	-	7.717,490600	Padrão - SND	Reg.	
19/09/2018	MNDC11	7.670,000000	44,688902	-	7.714,688902	Padrão - SND	Reg.	
18/09/2018	MNDC11	7.670,000000	41,888225	-	7.711,888225	Padrão - SND	Reg.	
17/09/2018	MNDC11	7.670,000000	39,088544	-	7.709,088544	Padrão - SND	Reg.	
14/09/2018	MNDC11	7.670,000000	36,289961	-	7.706,289961	Padrão - SND	Reg.	
13/09/2018	MNDC11	7.670,000000	33,492313	-	7.703,492313	Padrão - SND	Reg.	
12/09/2018	MNDC11	7.670,000000	30,695754	-	7.700,695754	Padrão - SND	Reg.	
11/09/2018	MNDC11	7.670,000000	27,900124	-	7.697,900124	Padrão - SND	Reg.	
10/09/2018	MNDC11	7.670,000000	25,105582	-	7.695,105582	Padrão - SND	Reg.	
06/09/2018	MNDC11	7.670,000000	22,311976	-	7.692,311976	Padrão - SND	Reg.	
05/09/2018	MNDC11	7.670,000000	19,519460	-	7.689,519460	Padrão - SND	Reg.	
04/09/2018	MNDC11	7.670,000000	16,727948	-	7.686,727948	Padrão - SND	Reg.	
03/09/2018	MNDC11	7.670,000000	13,937364	-	7.683,937364	Padrão - SND	Reg.	
31/08/2018	MNDC11	7.670,000000	11,147885	-	7.681,147885	Padrão - SND	Reg.	
30/08/2018	MNDC11	7.670,000000	8,359395	-	7.678,359395	Padrão - SND	Reg.	
29/08/2018	MNDC11	7.670,000000	5,571918	-	7.675,571918	Padrão - SND	Reg.	
28/08/2018	MNDC11	7.670,000000	2,785460	-	7.672,785460	Padrão - SND	Reg.	
27/08/2018	MNDC11	7.670,000000	-  	-	7.670,000000	Padrão - SND	Reg.	
24/08/2018	MNDC11	4.500,000000	1,634233	-	4.501,634233	Não Padrão - SND	Reg.	
23/08/2018	MNDC11	4.500,000000	1,634233	-	4.501,634233	Não Padrão - SND	Reg.	
22/08/2018	MNDC11	4.500,000000	1,634233	-	4.501,634233	Não Padrão - SND	Reg.	
21/08/2018	MNDC11	4.500,000000	1,634233	-	4.501,634233	Não Padrão - SND	Reg.	
20/08/2018	MNDC11	4.500,000000	1,634233	-	4.501,634233	Não Padrão - SND	Reg.	
17/08/2018	MNDC11	4.500,000000	1,634233	-	4.501,634233	Não Padrão - SND	Reg.	
16/08/2018	MNDC11	4.500,000000	1,634233	-	4.501,634233	Não Padrão - SND	Reg.	
15/08/2018	MNDC11	4.500,000000	1,634233	-	4.501,634233	Não Padrão - SND	Reg.	
14/08/2018	MNDC11	4.500,000000	1,634233	-	4.501,634233	Não Padrão - SND	Reg.	
13/08/2018	MNDC11	4.500,000000	1,634233	-	4.501,634233	Não Padrão - SND	Reg.	
10/08/2018	MNDC11	4.500,000000	1,634233	-	4.501,634233	Não Padrão - SND	Reg.	
09/08/2018	MNDC11	4.500,000000	1,634233	-	4.501,634233	Não Padrão - SND	Reg.	
08/08/2018	MNDC11	4.500,000000	1,634233	-	4.501,634233	Não Padrão - SND	Reg.	
07/08/2018	MNDC11	4.500,000000	1,634233	-	4.501,634233	Não Padrão - SND	Reg.	
06/08/2018	MNDC11	4.500,000000	1,634233	-	4.501,634233	Não Padrão - SND	Reg.	
03/08/2018	MNDC11	4.500,000000	1,634233	-	4.501,634233	Não Padrão - SND	Reg.	
02/08/2018	MNDC11	4.500,000000	1,634233	-	4.501,634233	Não Padrão - SND	Reg.	
01/08/2018	MNDC11	4.500,000000	1,634233	-	4.501,634233	Não Padrão - SND	Reg.	
31/07/2018	MNDC11	4.500,000000	1,634233	-	4.501,634233	Não Padrão - SND	Reg.	
